Date_Sold,Property_ID,Location,Price,Bedrooms,Bathrooms,Square_Feet,Agent
2024-08-26,P1000,Los Angeles,221958,5,1.2,516,David King
2024-10-28,P1001,New York,771155,5,1.8,1743,Alice Smith
2024-11-12,P1002,Los Angeles,231932,2,1.7,2705,Alice Smith
2025-04-15,P1003,Los Angeles,465838,5,3.1,3024,Bob Johnson
2024-06-18,P1004,Houston,359178,2,3.1,1569,Alice Smith
2024-11-15,P1005,Phoenix,744167,1,1.4,3944,Carol Lee
2024-07-30,P1006,Los Angeles,210268,4,4.0,3065,Alice Smith
2024-10-04,P1007,Los Angeles,832180,4,1.8,1560,Carol Lee
2025-02-15,P1008,Phoenix,154886,4,3.9,2827,David King
2024-07-30,P1009,Chicago,237337,5,2.2,3920,Bob Johnson
2024-11-03,P1010,New York,621430,1,1.1,801,Carol Lee
2024-05-13,P1011,Phoenix,187498,5,2.0,4776,Alice Smith
2025-04-01,P1012,Phoenix,999159,5,2.9,1106,Alice Smith
2025-03-18,P1013,Los Angeles,275203,1,3.0,3670,Carol Lee
2024-05-15,P1014,Los Angeles,291335,1,2.6,1199,Alice Smith
2024-06-22,P1015,Los Angeles,378167,1,2.3,1639,David King
2024-10-08,P1016,Houston,141090,1,2.7,690,Carol Lee
2024-08-24,P1017,Houston,429365,4,2.8,2800,David King
2024-11-14,P1018,New York,164820,3,1.2,1480,Alice Smith
2025-03-23,P1019,New York,887201,3,2.1,3475,Bob Johnson
2024-05-06,P1020,Los Angeles,421879,1,1.7,1684,David King
2024-05-14,P1021,New York,818315,3,3.4,3827,Alice Smith
2024-11-24,P1022,Chicago,427069,3,2.4,3894,Carol Lee
2024-05-04,P1023,New York,876997,1,4.0,627,David King
2024-06-07,P1024,Houston,299041,3,2.2,2565,Alice Smith
2024-11-19,P1025,Los Angeles,891743,5,3.4,2316,Alice Smith
2024-10-04,P1026,Houston,203355,2,3.4,1069,Bob Johnson
2025-01-29,P1027,Chicago,335796,2,1.5,2395,Carol Lee
2025-04-17,P1028,New York,314176,1,2.5,3233,Bob Johnson
2024-07-19,P1029,New York,284779,4,3.1,4363,Carol Lee
2024-08-26,P1030,New York,447449,1,3.6,4514,David King
2024-08-03,P1031,Houston,521909,4,2.0,3401,Carol Lee
2024-07-29,P1032,Los Angeles,358795,2,1.7,2186,Carol Lee
2024-08-06,P1033,New York,586232,1,3.1,3509,Bob Johnson
2024-05-03,P1034,Los Angeles,600186,5,3.4,654,David King
2024-12-23,P1035,Chicago,256730,3,2.0,3037,David King
2024-09-04,P1036,Houston,970910,4,1.3,1909,Bob Johnson
2025-03-11,P1037,Houston,484681,3,3.8,4557,Bob Johnson
2024-06-02,P1038,Phoenix,249503,3,2.2,1284,Carol Lee
2025-04-13,P1039,Phoenix,754811,1,2.6,3675,David King
2024-07-09,P1040,Phoenix,627035,3,3.5,4841,Bob Johnson
2024-11-01,P1041,Houston,748143,5,3.0,3306,David King
2024-08-18,P1042,Houston,552366,3,3.2,1037,Bob Johnson
2024-10-29,P1043,Los Angeles,165725,1,1.6,2341,Carol Lee
2024-10-27,P1044,Los Angeles,229981,5,2.6,2955,Alice Smith
2024-12-03,P1045,New York,184654,2,3.1,1024,Alice Smith
2024-10-07,P1046,Chicago,691723,3,1.7,3450,Carol Lee
2024-08-04,P1047,Chicago,419030,1,1.5,4631,Bob Johnson
2024-06-23,P1048,Houston,428947,2,3.9,4615,Alice Smith
2024-05-16,P1049,Chicago,655839,2,2.5,2868,Bob Johnson
2024-11-05,P1050,Los Angeles,373538,4,1.8,4347,Bob Johnson
2024-08-18,P1051,Houston,431236,5,4.0,4995,David King
2025-01-08,P1052,New York,628178,3,3.9,3201,Carol Lee
2024-09-25,P1053,New York,665894,1,2.7,1471,Bob Johnson
2025-03-11,P1054,Phoenix,589492,4,3.6,1666,David King
2024-09-02,P1055,Phoenix,356840,5,1.6,3274,Carol Lee
2024-09-14,P1056,Los Angeles,573254,4,1.8,2482,David King
2024-12-11,P1057,Houston,449457,5,3.1,1353,David King
2024-08-19,P1058,Chicago,765987,5,3.5,4646,Bob Johnson
2025-03-06,P1059,New York,370936,3,3.6,4236,David King
2024-08-02,P1060,New York,339931,5,2.2,4269,Bob Johnson
2025-01-17,P1061,Los Angeles,339629,4,3.7,1074,Carol Lee
2024-05-09,P1062,Houston,305041,5,3.6,3761,Carol Lee
2024-05-03,P1063,Houston,798361,3,3.8,1648,Bob Johnson
2024-10-01,P1064,Houston,831912,3,3.4,2215,Carol Lee
2024-05-06,P1065,Phoenix,517113,4,3.0,4354,Carol Lee
2024-11-28,P1066,Chicago,168148,2,2.7,2991,Carol Lee
2024-04-30,P1067,New York,877089,2,2.1,3160,David King
